#Table1
modelMag_u,modelMag_g,modelMag_r
21.534,18.65319,17.29992
19.55571,18.64648,18.33167
20.31354,18.52535,17.86737
21.28941,18.53755,17.10232
21.21596,18.72704,17.18428
19.21829,18.21037,17.87481
21.16406,18.94907,18.0655
20.55965,18.71392,17.90065
20.50249,18.36067,17.42237
19.63511,18.41716,17.89383
20.73138,18.54438,17.54819
20.21702,18.51996,17.82913
20.7688,18.88118,18.13253
20.73376,18.68559,17.78657
21.24627,18.47586,17.01488
20.87433,18.19796,16.78883
20.75461,18.2133,16.87307
20.20082,18.37896,17.78147
20.46931,18.00931,16.68906
20.53882,18.62738,17.80421
19.63925,18.73335,18.48832
19.03827,18.77251,18.84526
18.88575,18.71972,18.45712
21.02903,18.50429,17.16111
20.8756,18.17921,16.82651
19.17751,18.1879,17.90549
20.58721,18.03717,16.89628
19.53363,18.29319,17.83123
21.6049,18.96054,17.55846
20.47079,18.80934,18.27482
20.33014,18.79452,18.21181
21.0628,18.75778,17.63278
20.90923,18.46625,17.13171
19.99642,18.28539,17.65115
19.5601,18.23627,17.74652
19.68587,18.7257,18.53218
21.45488,18.81356,17.42328
19.91459,18.81993,18.42223
20.56365,18.90116,18.33259
19.03778,18.14184,17.84998
19.20379,18.20492,17.83352
20.15382,18.48665,17.77997
20.94238,18.4545,17.06517
21.26171,18.88097,17.81877
20.47585,18.009,16.60948
20.97443,18.31872,17.00966
21.33748,18.42301,16.87226
20.48053,18.26699,17.39065
20.90778,18.38533,17.05304
21.28141,18.82938,17.51846
19.78007,18.65898,18.27061
20.42841,18.88537,18.21626
19.5304,18.70117,16.28986
19.34627,18.20326,17.79141
20.80159,18.81624,17.93422
19.33381,18.26364,17.90921
21.13882,18.3356,16.94808
19.03246,18.01498,17.65606
19.76743,18.8221,18.50006
20.07859,18.8816,18.38602
19.16687,18.35728,18.01664
20.20879,18.06691,17.24984
20.79388,18.15134,16.90158
21.28358,18.76321,17.31824
19.20927,18.02637,17.62066
20.65764,18.18708,17.03143
20.73165,18.07816,16.99331
21.62081,18.74166,17.29866
21.12316,18.22849,16.8108
19.83044,18.53693,18.07333
19.72307,18.05687,17.37005
21.35729,18.85167,17.6254
20.93114,18.76275,17.69679
20.41909,18.62309,17.87346
19.70577,18.6482,18.25091
20.9315,18.56971,17.10568
19.81902,18.62144,18.00369
21.57762,18.93584,17.44253
15.38729,18.28721,13.95877
19.31161,18.79309,18.72612
21.37091,18.86893,17.40668
20.33358,18.72979,18.08941
20.42727,18.1312,17.08439
20.49474,18.12091,17.06369
20.65182,18.02193,16.71382
20.83267,18.26905,17.10818
18.63738,18.29874,18.3694
19.67472,18.53914,18.02308
21.19687,18.638,17.54231
20.80273,18.84553,18.02921
20.05272,18.63736,18.08114
21.29594,18.84341,17.53269
21.41259,18.80675,17.37205
21.28459,18.78953,17.33599
21.425,18.81231,17.39245
21.36682,18.83362,17.7311
21.05223,18.58298,17.18379
21.63193,18.98978,17.62018
21.672,18.98095,17.83581
21.87344,18.99694,17.53128
19.5577,18.41774,17.9337
21.08377,18.59378,17.18717
20.86331,18.24771,16.84273
19.94271,18.24162,17.57949
19.6496,18.79431,18.41145
20.65522,18.10755,16.97256
19.19577,18.26278,17.92631
20.81222,18.24039,17.13786
20.22035,18.55656,17.89463
20.94932,18.50395,17.26574
20.17318,18.33428,17.6042
19.76463,18.21257,17.6181
19.20516,18.06833,24.80204
19.41124,18.17452,17.68179
19.37229,18.41481,18.10028
21.19279,18.96065,17.5774
19.93879,18.38012,17.74504
20.32268,18.52295,17.86642
19.5494,18.56234,18.1122
18.26743,18.14662,18.23743
19.24888,18.09209,17.70546
19.47577,18.19175,17.70798
20.766,18.46369,17.48829
18.90182,18.01611,17.63876
20.79693,18.28257,16.84404
21.04766,18.52533,17.29962
20.74682,18.17,16.76427
19.29066,18.01559,17.52219
21.04934,18.82248,17.861
20.80095,18.26946,16.92249
19.94564,18.47701,17.88141
20.69012,18.84856,18.13824
19.98524,18.22091,17.52741
20.76403,18.32374,17.05022
20.73545,18.1691,16.79376
19.63578,18.18931,17.64807
21.42616,18.63513,17.21163
20.00877,18.82185,18.30649
19.79131,18.51011,18.01893
19.53374,18.62702,18.37296
21.32538,18.68448,17.24572
21.24037,18.72303,17.53082
18.51438,18.54851,18.4385
21.02283,18.44774,17.12897
19.35247,18.35362,17.88613
19.77679,18.78928,18.39993
19.89958,18.99208,18.63195
20.70209,18.56618,17.67117
21.17725,18.4785,17.05962
19.10112,18.06417,17.66836
21.3773,18.94143,17.54893
20.05036,18.81786,18.31329
19.80957,18.87872,18.54266
20.23943,18.29146,17.44264
20.89319,18.69323,17.77044
20.2747,18.98566,18.4984
20.85093,18.04082,16.58091
20.14353,18.65564,18.03454
21.11553,18.30074,16.92059
20.75418,18.01194,16.53215
20.4856,18.29267,17.34388
20.76409,18.27656,17.26473
19.22551,18.0703,17.63222
20.97514,18.79958,17.43006
19.80357,18.22252,17.56265
18.60792,18.41558,18.20612
20.24642,18.38197,17.65217
19.79493,18.88659,18.46427
20.93955,18.49631,17.09732
20.75734,18.32075,16.98419
20.45717,18.6987,17.98966
19.70467,18.548,18.15083
20.55041,18.60252,17.77913
20.96696,18.68749,17.69824
19.87693,18.60065,18.05868
19.45661,18.55867,18.19191
21.03612,18.93456,18.07214
19.98044,18.22592,16.2866
19.03165,18.79186,18.67183
21.47953,18.90657,17.44311
20.73972,18.33999,16.96927
19.64344,18.55549,18.08284
20.63288,18.12833,16.72998
19.89918,18.48797,17.93116
20.87925,18.335,16.92131
20.03104,18.72612,18.27617
21.82475,18.87332,17.47085
21.38093,18.69316,17.18063
20.24474,18.65096,17.96217
19.51387,18.29642,17.84668
21.15324,18.38175,17.02665
21.59992,18.95271,17.74059
21.52919,18.80985,17.52378
20.72063,18.09938,16.686
19.76981,18.70862,18.40373
20.69961,18.26972,17.20533
21.18804,18.61131,17.18075
19.58179,18.44193,18.03228
20.36876,18.2676,17.5319
20.85735,18.41484,16.97768
21.07606,18.46922,17.05415
20.64322,18.02594,16.87391
21.22085,18.46084,17.05441
20.63043,18.32078,17.3421
19.69863,18.41788,17.97599
19.74973,18.00918,17.32116
19.39967,18.46618,18.14147
20.88444,18.9362,18.19195
21.20365,18.51781,17.07417
19.2441,18.32101,18.05639
20.92244,18.41857,17.01676
19.36865,18.45653,18.08473
21.06006,18.47798,17.22763
19.57501,18.69523,18.35409
20.88318,18.5932,17.50823
20.27814,18.86464,18.33364
19.60174,18.1101,17.52074
21.52584,18.97827,17.54612
20.46898,18.1207,17.03999
19.99965,18.89355,18.49854
19.58541,18.56455,18.09311
19.81891,18.85147,18.5152
21.94148,18.88222,17.6882
20.98736,18.8251,18.01029
19.97111,18.76125,18.48399
21.86622,18.99484,17.59728
20.28498,18.19211,17.39923
19.52946,18.51541,18.11423
20.03028,18.87986,18.50496
21.69019,18.90851,17.91002
20.60526,18.40659,17.47174
21.29283,18.96999,17.59322
21.29925,18.64233,17.27397
19.87918,18.96904,18.59974
20.57476,18.19452,16.73533
21.19882,18.72729,17.29488
20.44636,18.03602,16.8402
19.2386,18.10389,17.73527
20.7267,18.31524,17.25071
21.70641,18.9326,17.49359
21.25696,18.62944,17.21459
21.29617,18.93182,17.56137
20.876,18.64355,17.68965
19.8532,18.96359,18.63266
19.29284,18.24581,17.85966
21.21628,18.49934,17.087
20.53074,18.95919,18.30339
21.23788,18.84973,17.46787
20.60686,18.29045,17.29822
20.24819,18.29408,17.54722
19.57566,18.67997,18.27494
20.62385,18.05012,16.63949
19.65662,18.76651,18.33097
19.88069,18.8477,18.41983
18.95511,18.03712,17.73454
19.21226,18.00142,17.49104
19.77172,18.79724,18.49981
19.19335,18.30297,17.99933
19.57911,18.21596,17.65289
19.89199,18.66851,18.20749
21.2177,18.72089,17.3617
19.96956,18.50112,17.90947
20.61284,18.10431,16.70086
20.1615,18.5996,17.93826
21.05336,18.38797,16.97314
19.43078,18.32228,17.90855
20.90918,18.34023,17.01192
19.4095,18.50892,18.24834
20.62072,18.13157,16.75752
20.04304,18.8096,18.3648
21.48855,18.8103,17.37222
20.28278,18.61616,17.90922
20.85135,18.51039,17.46969
20.63181,18.74147,18.01085
20.80427,18.19372,17.02408
20.30351,18.69533,18.10933
19.44919,18.3265,17.85588
21.04729,18.38686,16.90988
21.0775,18.34244,17.09948
19.08729,18.13279,17.8688
21.07585,18.66879,17.56688
20.96972,18.5789,17.11609
19.68742,18.5192,18.25103
19.61638,18.7326,18.42437
19.69781,18.76139,18.43312
20.30288,18.12157,17.13036
21.68876,18.83148,17.41346
18.79548,18.45453,18.40876
20.02649,18.34067,17.54052
20.99983,18.86623,17.96653
21.36116,18.63634,17.37774
20.08219,18.12388,17.3064
19.69726,18.64045,18.23718
20.18766,18.33779,17.51192
19.46531,18.52948,18.23932
20.44776,18.70233,18.04574
20.58165,18.75505,17.97233
20.74529,18.10234,16.65543
19.52331,18.20539,17.67938
19.94341,18.88766,18.37961
21.76073,18.99788,17.62815
20.08344,18.777,18.28131
19.55853,18.42487,18.02703
19.93503,18.58338,18.07349
20.68846,18.57664,17.71828
19.86597,18.08901,17.33814
19.6744,18.59819,18.1517
19.93133,18.98328,18.73449
21.04243,18.42321,16.97543
20.44819,18.03655,17.00518
21.11468,18.91919,18.02947
21.29604,18.97966,17.7113
20.3455,18.97286,18.39839
20.41135,18.92043,18.33786
20.98161,18.50172,17.12573
21.35896,18.96407,17.50143
20.20509,18.39959,17.73915
19.80991,18.51119,17.98754
19.82967,18.59336,18.14735
19.49997,18.18898,17.63803
20.76653,18.81631,17.92849
20.93778,18.5382,17.20701
19.56269,18.30931,17.82925
20.93696,18.46788,17.36462
20.56666,18.28971,17.36652
19.98524,18.45616,17.78504
20.86415,18.64627,17.43959
19.64506,18.81042,18.43773
20.8891,18.99381,18.26113
20.41018,18.30755,17.39711
19.84559,18.6911,18.17817
19.50659,18.24635,17.70959
19.195,18.11691,17.73086
21.12507,18.56624,17.40175
19.66566,18.636,18.24576
20.28748,18.65922,18.02912
20.82828,18.44733,17.25989
19.55862,18.29228,17.76399
19.95858,18.95742,18.58498
19.77416,18.71623,18.37875
19.11571,18.07347,17.6485
20.22128,18.49606,18.24841
19.10452,18.02155,17.80259
19.84289,18.97394,18.70505
21.47016,18.97542,17.59536
19.43143,18.1055,17.56126
19.01035,18.03428,17.78437
24.63465,18.45938,14.27158
21.1329,18.70831,17.51022
21.30253,18.83709,17.72787
20.91286,18.44037,17.31425
20.51108,18.18253,17.20744
20.29741,18.37312,17.59049
21.15866,18.61552,17.45741
18.97157,18.41343,24.82145
20.6256,18.45112,17.57372
20.0805,18.47329,17.84264
19.74389,18.47648,17.98223
20.3652,18.15822,17.24958
20.88476,18.86818,17.95791
20.81766,18.18997,16.8923
21.29245,18.65621,17.25781
19.91606,18.73105,18.23385
20.8365,18.05719,16.59841
21.58479,18.72327,17.24401
20.68987,18.62109,17.69591
19.2323,18.31674,18.02568
21.58499,18.85846,17.49591
19.51651,18.54249,18.14729
20.63614,18.25554,17.14745
20.08103,18.50279,17.85131
19.387,18.05365,17.58912
